도,시군,품목,작기,농가명,날짜,평균 : 온도_외부,최대 : 일일누적일사량,최대 : 강우감지,평균 : 온도_내부,평균 : 상대습도_내부,평균 : 잔존이산화탄소(CO2),평균 : 토양온도,합계 : 결측치-일사량추정
강원,평창,완숙토마토,1,9,2022-09-17,,,0,24.4,83.25,447.38,,
강원,평창,완숙토마토,1,9,2022-09-18,,,0,24.37,82.37,435.25,,
강원,평창,완숙토마토,1,9,2022-09-19,,,0,20.78,75.88,424.81,,
강원,평창,완숙토마토,1,9,2022-09-20,,,0,16.62,75.15,451.5,,
강원,평창,완숙토마토,1,9,2022-09-21,,,0,17.25,71.59,463.44,,
강원,평창,완숙토마토,1,9,2022-09-22,,,0,18,70.78,460.44,,
강원,평창,완숙토마토,1,9,2022-09-23,,,0,17.26,75.95,490.13,,
강원,평창,완숙토마토,1,9,2022-09-24,,,0,16.25,68.96,470.44,,
강원,평창,완숙토마토,1,9,2022-09-25,,,0,16.38,75.51,483.5,,
강원,평창,완숙토마토,1,9,2022-09-26,,,0,17.85,74.47,492.88,,
강원,평창,완숙토마토,1,9,2022-09-27,,,0,18.16,70.79,499.25,,
강원,평창,완숙토마토,1,9,2022-09-28,,,0,16.86,78.28,497.63,,
강원,평창,완숙토마토,1,9,2022-09-29,,,0,18.92,78.68,504.69,,
강원,평창,완숙토마토,1,9,2022-09-30,,,0,18.16,75.7,497.81,,
강원,평창,완숙토마토,1,9,2022-10-01,,,0,18.79,73.83,468.44,,
강원,평창,완숙토마토,1,9,2022-10-02,,,0,16.05,89.14,516,,
강원,평창,완숙토마토,1,9,2022-10-03,,,0,19.39,96.14,513.63,,
강원,평창,완숙토마토,1,9,2022-10-04,,,0,19.3,92.74,462.31,,
강원,평창,완숙토마토,1,9,2022-10-05,,,0,16.65,85.18,497.38,,
강원,평창,완숙토마토,1,9,2022-10-06,,,0,15.38,84.13,486.94,,
강원,평창,완숙토마토,1,9,2022-10-07,,,0,15.55,85.69,481.88,,
강원,평창,완숙토마토,1,9,2022-10-08,,,0,14.7,77.44,471.94,,
강원,평창,완숙토마토,1,9,2022-10-09,,,0,14.08,86.48,479.69,,
강원,평창,완숙토마토,1,9,2022-10-10,,,0,12.31,89.05,443.31,,
강원,평창,완숙토마토,1,9,2022-10-11,,,0,15.24,82.23,430.75,,
강원,평창,완숙토마토,1,9,2022-10-12,,,0,16.1,82.91,464.63,,
강원,평창,완숙토마토,1,9,2022-10-13,,,0,15.58,79.97,487,,
강원,평창,완숙토마토,1,9,2022-10-14,,,0,16.84,81.84,473.38,,
강원,평창,완숙토마토,1,9,2022-10-15,,,0,17.89,80.72,519.06,,
강원,평창,완숙토마토,1,9,2022-10-16,,,0,16.96,89.41,518.75,,
강원,평창,완숙토마토,1,9,2022-10-17,,,0,14.79,79.81,494.5,,
강원,평창,완숙토마토,1,9,2022-10-18,,,0,14.28,73.86,448.5,,
강원,평창,완숙토마토,1,9,2022-10-19,,,0,14.72,73.66,452.31,,
강원,평창,완숙토마토,1,9,2022-10-20,,,0,14.81,72.55,466.63,,
강원,평창,완숙토마토,1,9,2022-10-21,,,0,14.81,76.08,484.81,,
강원,평창,완숙토마토,1,9,2022-10-22,,,0,14.76,75.13,491.63,,
강원,평창,완숙토마토,1,9,2022-10-23,,,0,14.27,86.95,497.81,,
강원,평창,완숙토마토,1,9,2022-10-24,,,0,13.04,83.8,453.44,,
강원,평창,완숙토마토,1,9,2022-10-25,,,0,12.41,81.33,456.56,,
강원,평창,완숙토마토,1,9,2022-10-26,,,0,13.93,76.89,461.63,,
강원,평창,완숙토마토,1,9,2022-10-27,,,0,14.09,77.36,469.19,,
강원,평창,완숙토마토,1,9,2022-10-28,,,0,13.16,76.22,473.88,,
강원,평창,완숙토마토,1,9,2022-10-29,,,0,12.59,77.98,475.25,,
강원,평창,완숙토마토,1,9,2022-10-30,,,0,13.66,79.25,488.69,,
강원,평창,완숙토마토,1,9,2022-10-31,,,0,13.01,78.84,482.69,,
강원,평창,완숙토마토,1,9,2022-11-01,,,0,12.54,76.36,494.94,,
강원,평창,완숙토마토,1,9,2022-11-02,,,0,13.17,76.31,478.25,,
강원,평창,완숙토마토,1,9,2022-11-03,,,0,11.66,84.34,458.31,,
강원,평창,완숙토마토,1,9,2022-11-04,,,0,12.28,73.63,448.06,,
강원,평창,완숙토마토,1,9,2022-11-05,,,0,12.37,66.68,461,,
강원,평창,완숙토마토,1,9,2022-11-06,,,0,12.64,70.99,458.63,,
강원,평창,완숙토마토,1,9,2022-11-07,,,0,12.71,75.51,467.63,,
강원,평창,완숙토마토,1,9,2022-11-08,,,0,12.99,79.92,468.56,,
강원,평창,완숙토마토,1,9,2022-11-09,,,0,11.61,74.24,485.25,,
강원,평창,완숙토마토,1,9,2022-11-10,,,0,13.98,81.09,480.69,,
강원,평창,완숙토마토,1,9,2022-11-11,,,0,14.55,80.9,479.13,,
강원,평창,완숙토마토,1,9,2022-11-12,,,0,7.7,84,578,,
강원,평창,완숙토마토,1,12,2022-09-04,,,0,20.81,91.07,397.44,,
강원,평창,완숙토마토,1,12,2022-09-05,,,0,20.68,93.61,417,,
강원,평창,완숙토마토,1,12,2022-09-06,,,0,18.64,85.78,397.25,,
강원,평창,완숙토마토,1,12,2022-09-07,,,0,19.51,71.7,408.75,,
강원,평창,완숙토마토,1,12,2022-09-08,,,0,19.24,76.28,422.13,,
강원,평창,완숙토마토,1,12,2022-09-09,,,0,18.59,70.26,424,,
강원,평창,완숙토마토,1,12,2022-09-10,,,0,17.77,76.57,425.5,,
강원,평창,완숙토마토,1,12,2022-09-11,,,0,19.21,84.31,429.56,,
강원,평창,완숙토마토,1,12,2022-09-12,,,0,21.09,85.91,421.56,,
강원,평창,완숙토마토,1,12,2022-09-13,,,0,20.45,85.56,426.75,,
강원,평창,완숙토마토,1,12,2022-09-14,,,0,19.87,76.21,403.44,,
강원,평창,완숙토마토,1,12,2022-09-15,,,0,21.21,76.9,404.63,,
강원,평창,완숙토마토,1,12,2022-09-16,,,0,22.2,82.77,415.63,,
강원,평창,완숙토마토,1,12,2022-09-17,,,0,24.18,82.13,430.44,,
강원,평창,완숙토마토,1,12,2022-09-18,,,0,22.71,86.33,432.06,,
강원,평창,완숙토마토,1,12,2022-09-19,,,0,19.13,83.49,396.25,,
강원,평창,완숙토마토,1,12,2022-09-20,,,0,14.95,79.44,411.94,,
강원,평창,완숙토마토,1,12,2022-09-21,,,0,15.81,74.2,415.13,,
강원,평창,완숙토마토,1,12,2022-09-22,,,0,16.44,75.94,410.25,,
강원,평창,완숙토마토,1,12,2022-09-23,,,0,16.28,73.98,412.94,,
강원,평창,완숙토마토,1,12,2022-09-24,,,0,15.11,67.13,421.31,,
강원,평창,완숙토마토,1,12,2022-09-25,,,0,14.93,77.86,427.44,,
강원,평창,완숙토마토,1,12,2022-09-26,,,0,16,75.14,425.63,,
강원,평창,완숙토마토,1,12,2022-09-27,,,0,16.94,74.43,424.81,,
강원,평창,완숙토마토,1,12,2022-09-28,,,0,15.27,80.66,420.19,,
강원,평창,완숙토마토,1,12,2022-09-29,,,0,17.59,77.86,417.06,,
강원,평창,완숙토마토,1,12,2022-09-30,,,0,17.26,76.39,430.69,,
강원,평창,완숙토마토,1,12,2022-10-01,,,0,17.28,74.11,438.25,,
강원,평창,완숙토마토,1,12,2022-10-02,,,0,15.4,90.31,435.25,,
강원,평창,완숙토마토,1,12,2022-10-03,,,0,19.68,92.88,407.13,,
강원,평창,완숙토마토,1,12,2022-10-04,,,0,17.32,89.55,411.44,,
강원,평창,완숙토마토,1,12,2022-10-05,,,0,13.64,85.22,416.19,,
강원,평창,완숙토마토,1,12,2022-10-06,,,0,14.61,85.79,436.5,,
강원,평창,완숙토마토,1,12,2022-10-07,,,0,15.33,87.43,446.06,,
강원,평창,완숙토마토,1,12,2022-10-08,,,0,17.16,81,447.56,,
강원,평창,완숙토마토,1,12,2022-10-09,,,0,15.99,86.93,440.69,,
강원,평창,완숙토마토,1,12,2022-10-10,,,0,11.78,83.9,429.13,,
강원,평창,완숙토마토,1,12,2022-10-11,,,0,15.54,77.16,431.25,,
강원,평창,완숙토마토,1,12,2022-10-12,,,0,16.38,79.52,459.75,,
강원,평창,완숙토마토,1,12,2022-10-13,,,0,16.48,79.62,459.13,,
강원,평창,완숙토마토,1,12,2022-10-14,,,0,19.08,82.9,453.63,,
강원,평창,완숙토마토,1,12,2022-10-15,,,0,20.88,81.45,460.38,,
강원,평창,완숙토마토,1,12,2022-10-16,,,0,18.07,87.76,466.31,,
강원,평창,완숙토마토,1,12,2022-10-17,,,0,16.78,76.26,451.44,,
강원,평창,완숙토마토,1,12,2022-10-18,,,0,14.54,72.86,447.13,,
강원,평창,완숙토마토,1,12,2022-10-19,,,0,14.19,71.57,453.25,,
강원,평창,완숙토마토,1,12,2022-10-20,,,0,14.63,69.45,465.06,,
강원,평창,완숙토마토,1,12,2022-10-21,,,0,15.19,68.28,471.13,,
강원,평창,완숙토마토,1,12,2022-10-22,,,0,15.9,69.88,475,,
강원,평창,완숙토마토,1,12,2022-10-23,,,0,13.88,86.23,471.81,,
강원,평창,완숙토마토,1,12,2022-10-24,,,0,11.89,86.24,447.19,,
강원,평창,완숙토마토,1,12,2022-10-25,,,0,10.14,85.98,454.94,,
강원,평창,완숙토마토,1,12,2022-10-26,,,0,12.52,79.99,458.25,,
강원,평창,완숙토마토,1,12,2022-10-27,,,0,14.34,76.56,467.69,,
강원,평창,완숙토마토,1,12,2022-10-28,,,0,13.14,88.31,477.13,,
강원,평창,완숙토마토,1,12,2022-10-29,,,0,14.31,83.14,467.44,,
강원,평창,완숙토마토,1,12,2022-10-30,,,0,14.39,82.79,471.44,,
강원,평창,완숙토마토,1,12,2022-10-31,,,0,14.23,83.46,468,,
강원,평창,완숙토마토,1,12,2022-11-01,,,0,14.09,80.37,471.38,,
강원,평창,완숙토마토,1,12,2022-11-02,,,0,13.38,75.93,467.06,,
강원,평창,완숙토마토,1,12,2022-11-03,,,0,10.81,81.31,464.94,,
강원,평창,완숙토마토,1,12,2022-11-04,,,0,10.98,74.58,444.44,,
강원,평창,완숙토마토,1,12,2022-11-05,,,0,9.5,71.54,453.06,,
강원,평창,완숙토마토,1,12,2022-11-06,,,0,10.58,74.75,460.81,,
강원,평창,완숙토마토,1,12,2022-11-07,,,0,11.31,75.97,463.38,,
강원,평창,완숙토마토,1,12,2022-11-08,,,0,13.16,76.39,478.06,,
강원,평창,완숙토마토,1,12,2022-11-09,,,0,12.15,75.61,470.88,,
강원,평창,완숙토마토,1,12,2022-11-10,,,0,14.11,79.16,472,,
강원,평창,완숙토마토,1,12,2022-11-11,,,0,14.77,80.3,480.25,,
강원,평창,완숙토마토,1,12,2022-11-12,,,0,10.8,88.9,528,,
강원,평창,완숙토마토,1,13,2022-09-30,15.34,1801,0,19.16,84.31,,,
강원,평창,완숙토마토,1,13,2022-10-01,15.68,1892,0,19.78,84.69,,,
강원,평창,완숙토마토,1,13,2022-10-02,14.17,438,1,18.15,94.32,,,
강원,평창,완숙토마토,1,13,2022-10-03,18.8,117,1,19.21,99.32,,,
강원,평창,완숙토마토,1,13,2022-10-04,17.5,538,1,18.92,94.74,,,
강원,평창,완숙토마토,1,13,2022-10-05,13.48,1029,0,17.2,88.08,,,
강원,평창,완숙토마토,1,13,2022-10-06,12.91,857,0,16.91,87.76,,,
강원,평창,완숙토마토,1,13,2022-10-07,11.75,828,1,17.47,90.21,,,
강원,평창,완숙토마토,1,13,2022-10-08,10.7,1454,0,17.63,81.89,,,
강원,평창,완숙토마토,1,13,2022-10-09,10.76,730,1,17.24,90.64,,,
강원,평창,완숙토마토,1,13,2022-10-10,7.58,568,1,16.9,91.62,,,
강원,평창,완숙토마토,1,13,2022-10-11,7.64,1725,0,17.3,83.46,,,
강원,평창,완숙토마토,1,13,2022-10-12,10.19,1685,0,18.17,83.59,,,
강원,평창,완숙토마토,1,13,2022-10-13,11.4,1561,0,18.23,84.96,,,
강원,평창,완숙토마토,1,13,2022-10-14,13.14,1465,0,18.38,84.88,,,
강원,평창,완숙토마토,1,13,2022-10-15,14.63,1610,0,18.78,84.99,,,
강원,평창,완숙토마토,1,13,2022-10-16,14.41,656,0,17.86,90.08,,,
강원,평창,완숙토마토,1,13,2022-10-17,10.07,1642,0,17.3,80.43,,,
강원,평창,완숙토마토,1,13,2022-10-18,4.35,1768,0,16.32,79.18,,,
강원,평창,완숙토마토,1,13,2022-10-19,4.55,1743,0,16.45,77.37,,,
강원,평창,완숙토마토,1,13,2022-10-20,6.92,1734,0,17.56,76.47,,,
강원,평창,완숙토마토,1,13,2022-10-21,8.6,1494,0,17.57,77.1,,,
강원,평창,완숙토마토,1,13,2022-10-22,10.01,1503,0,17.79,79.28,,,
강원,평창,완숙토마토,1,13,2022-10-23,9.43,949,1,17.57,88.57,,,
강원,평창,완숙토마토,1,13,2022-10-24,6.37,969,1,16.93,88.35,,,
강원,평창,완숙토마토,1,13,2022-10-25,4.9,729,1,16.73,86.61,,,
강원,평창,완숙토마토,1,13,2022-10-26,6.48,1520,0,17.05,81.14,,,
강원,평창,완숙토마토,1,13,2022-10-27,8.52,1408,0,17.41,81.25,,,
강원,평창,완숙토마토,1,13,2022-10-28,8.67,999,0,17.07,84.32,,,
강원,평창,완숙토마토,1,13,2022-10-29,9.78,1184,0,17.36,84.47,,,
강원,평창,완숙토마토,1,13,2022-10-30,9.73,1276,0,15.95,87.25,,,
강원,평창,완숙토마토,1,13,2022-10-31,9.33,1309,0,15.03,87.44,,,
강원,평창,완숙토마토,1,13,2022-11-01,8.53,1293,0,14.82,87.53,,,
강원,평창,완숙토마토,1,13,2022-11-02,6.39,1352,0,14.1,85.72,,,
강원,평창,완숙토마토,1,13,2022-11-03,5.52,551,0,15.16,88.94,,,
강원,평창,완숙토마토,1,13,2022-11-04,2.26,1484,0,14.88,82.27,,,
강원,평창,완숙토마토,1,13,2022-11-05,0.35,1499,0,15.18,82.86,,,
강원,평창,완숙토마토,1,13,2022-11-06,2.3,1306,0,15.33,84.81,,,
강원,평창,완숙토마토,1,13,2022-11-07,5.01,1125,0,15.55,87.15,,,
강원,평창,완숙토마토,1,13,2022-11-08,7.08,1211,0,15.6,87.08,,,
강원,평창,완숙토마토,1,13,2022-11-09,5.55,1128,0,15.53,87.8,,,
강원,평창,완숙토마토,1,13,2022-11-10,8.32,1136,0,15.8,89.2,,,
강원,평창,완숙토마토,1,13,2022-11-11,8.79,1158,0,16.1,88.15,,,
강원,평창,완숙토마토,1,13,2022-11-12,10.96,809,1,16.41,90.24,,,
강원,평창,완숙토마토,1,13,2022-11-13,11.68,347,1,16.4,98.39,,,
강원,평창,완숙토마토,1,13,2022-11-14,7.13,523,0,15.37,96.33,,,
강원,평창,완숙토마토,1,13,2022-11-15,3.26,886,1,15.3,92.54,,,
강원,평창,완숙토마토,1,13,2022-11-16,4.77,1124,0,15.34,90.65,,,
강원,평창,완숙토마토,1,13,2022-11-17,4.58,1205,0,15.41,89.25,,,
강원,평창,완숙토마토,1,13,2022-11-18,4.87,1243,0,15.44,87.1,,,
강원,평창,완숙토마토,1,13,2022-11-19,5.96,923,0,15.54,88.63,,,
강원,평창,완숙토마토,1,13,2022-11-20,7.28,1087,0,15.73,87.84,,,
강원,평창,완숙토마토,1,13,2022-11-21,6.87,1003,0,15.73,89.3,,,
강원,평창,완숙토마토,1,13,2022-11-22,6.88,606,1,15.77,93.19,,,
강원,평창,완숙토마토,1,13,2022-11-23,7.76,714,1,15.38,92.65,,,
강원,평창,완숙토마토,1,13,2022-11-24,3.46,962,0,15.15,89.6,,,
강원,평창,완숙토마토,1,13,2022-11-25,4.19,1069,0,15.13,87.92,,,
강원,평창,완숙토마토,1,13,2022-11-26,5.05,1046,1,15.1,88.84,,,
강원,평창,완숙토마토,1,13,2022-11-27,1.08,1031,0,15.07,87.73,,,
강원,평창,완숙토마토,1,13,2022-11-28,3.05,298,1,14.76,94.93,,,
강원,평창,완숙토마토,1,13,2022-11-29,8.51,389,1,15.24,96.45,,,
강원,평창,완숙토마토,1,13,2022-11-30,-4.93,1158,0,13.47,89.32,,,
강원,평창,완숙토마토,1,13,2022-12-01,-7.28,1154,0,11.6,90.41,,,
강원,평창,완숙토마토,1,13,2022-12-02,-7.18,1201,0,11.48,89.94,,,
강원,평창,완숙토마토,1,13,2022-12-03,-2.85,338,0,9.89,96.55,,,
강원,평창,완숙토마토,1,13,2022-12-04,-3.29,698,0,11.11,93.31,,,
강원,평창,완숙토마토,1,13,2022-12-05,-6.12,1063,0,11.4,90.14,,,
강원,평창,완숙토마토,1,13,2022-12-06,-5.93,430,1,9.88,94.27,,,
강원,평창,완숙토마토,1,13,2022-12-07,0.75,717,1,12,94.45,,,
강원,평창,완숙토마토,1,13,2022-12-08,-0.93,1068,0,12.23,90.25,,,
강원,평창,완숙토마토,1,13,2022-12-09,-2.3,467,0,11.35,94.53,,,
강원,평창,완숙토마토,1,13,2022-12-10,-1.9,574,0,10.44,95.29,,,
강원,평창,완숙토마토,1,13,2022-12-11,-5.3,,0,7.6,97.1,,,
강원,평창,완숙토마토,1,15,2022-04-14,,665,0,12.76,72.12,,,665
강원,평창,완숙토마토,1,15,2022-04-15,,2670,0,20.01,52.05,,,2670
강원,평창,완숙토마토,1,15,2022-04-16,,2876,0,20.6,43.44,,,2876
강원,평창,완숙토마토,1,15,2022-04-17,,3012,0,22.1,39.2,,,3012
강원,평창,완숙토마토,1,15,2022-04-18,,2207,0,22.22,44.78,,,2207
강원,평창,완숙토마토,1,15,2022-04-19,,2922,0,22.48,40.22,,,2922
강원,평창,완숙토마토,1,15,2022-04-20,,3034,0,23.56,39.53,,,3034
강원,평창,완숙토마토,1,15,2022-04-21,,2383,0,22.5,44.5,,,2383
강원,평창,완숙토마토,1,15,2022-04-22,,973,0,21.15,66.43,,,973
강원,평창,완숙토마토,1,15,2022-04-23,,2452,0,23.74,49,,,2452
강원,평창,완숙토마토,1,15,2022-04-24,,2876,0,25.05,48.45,,,2876
강원,평창,완숙토마토,1,15,2022-04-25,,2245,0,25.71,51.67,,,2245
강원,평창,완숙토마토,1,15,2022-04-26,,1721,0,24.72,64.42,,,1721
강원,평창,완숙토마토,1,15,2022-04-27,,3070,0,24.54,51.74,,,3070
강원,평창,완숙토마토,1,15,2022-04-28,,2709,0,22.52,58.55,,,2709
강원,평창,완숙토마토,1,15,2022-04-29,,1350,0,19.86,69.45,,,1350
강원,평창,완숙토마토,1,15,2022-04-30,,1464,0,19.61,67.22,,,1464
강원,평창,완숙토마토,1,15,2022-05-01,,2731,0,20.72,56.5,,,2731
강원,평창,완숙토마토,1,15,2022-05-02,,2066,0,20.12,62.23,,,2066
강원,평창,완숙토마토,1,15,2022-05-03,,2994,0,20.63,55.57,,,2994
강원,평창,완숙토마토,1,15,2022-05-04,,3176,0,23.31,53.67,,,3176
강원,평창,완숙토마토,1,15,2022-05-05,,3292,0,24.98,50.79,,,3292
강원,평창,완숙토마토,1,15,2022-05-06,,3188,0,25.17,55.07,,,3188
강원,평창,완숙토마토,1,15,2022-05-07,,1820,0,21.7,68.02,,,1820
강원,평창,완숙토마토,1,15,2022-05-08,,1179,0,19.45,73.9,,,1179
강원,평창,완숙토마토,1,15,2022-05-09,,3239,0,22.83,58.16,,,3239
강원,평창,완숙토마토,1,15,2022-05-10,,2821,0,22.09,58.24,,,2821
강원,평창,완숙토마토,1,15,2022-05-11,,2856,0,23.18,60.41,,,2856
강원,평창,완숙토마토,1,15,2022-05-12,,2023,0,22.12,71.02,,,2023
